date, temp
24-02-23-07-44-22, 19
24-02-23-07-44-40, 18
24-02-23-07-52-50, 19
24-02-23-08-41-01, 18
24-02-23-08-43-38, 18
24-02-23-08-44-33, 19
24-02-23-09-09-16, 18
24-02-23-09-10-05, 18
24-02-23-09-11-48, 18
24-02-23-09-12-39, 19
24-02-23-09-13-03, 19
24-02-23-09-13-36, 18
24-02-23-09-14-38, 18
24-02-23-09-16-50, 18
24-02-23-09-18-00, 18
24-02-23-09-20-02, 19
24-02-23-09-21-41, 18
24-02-23-09-22-17, 20
24-02-23-09-24-15, 18
24-02-23-09-24-25, 20
24-02-23-09-25-02, 19
24-02-23-09-26-18, 19
24-02-23-09-29-26, 18
24-02-23-09-30-07, 18
24-02-23-09-30-50, 18
24-02-23-09-31-11, 18
24-02-23-09-37-07, 18
24-02-23-09-38-00, 19
24-02-23-09-38-47, 20
24-02-23-09-39-14, 19
24-02-23-09-39-40, 20
24-02-23-09-40-07, 18
24-02-23-09-45-48, 19
24-02-23-09-47-32, 20
24-02-23-09-47-54, 18
24-02-23-09-48-54, 18
24-02-23-10-34-05, 18
24-02-23-10-35-48, 19
24-02-23-10-36-24, 18
24-02-23-11-11-37, 19
24-02-23-11-24-49, 19
24-02-27-08-03-57, 19
